instance_id,n,density_target,seed,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,diffusion_cost_norm,prep_cost_norm,k_star_resource_eff,p_target_eff,expected_repetitions,score,normalized_cost,normalized_resource_per_target_hit,depth_model,eta_res
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0,4.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.006478413431848171,131.0,154.35878097621173,810.0,0.0753704985235409
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0,8.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.0036113708917962146,235.0,276.9031567130516,810.0,0.13520661948879475
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0005,1.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.011066130635886379,43.0,90.36582278878019,660.0,0.04346701707093844
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0005,2.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.007435056520986161,64.0,134.4979688019054,660.0,0.06469509517535023
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0005,4.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.004489090729652022,106.0,222.76226082815583,660.0,0.10715125138417382
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.0005,8.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.002504440091279549,190.0,399.29084488065666,660.0,0.192063563801821
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.001,1.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.008134979868891133,37.0,122.9259341899648,570.0,0.058248497945277936
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.001,2.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.005472622820890399,55.0,182.72774001210985,570.0,0.08658560505379152
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.001,4.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.00330762917746123,91.0,302.33135165639993,570.0,0.1432598192708187
n12_d50_s17,12,0.5,17,1.0,119,2,0.00048828125,0.001,8.0,1.0,1.0,17,0.2844184230113768,3.515946644426756,0.0018468728766972522,154.0,541.4557832417204,540.0,0.2565690168266293
